LOC122958466	rna-XM_044319382.1
LOC114965723	rna-XM_029345432.2
LOC122950002	rna-XM_044310085.1
LOC114957965	rna-XM_029335558.2
LOC114950332	rna-XM_044319398.1
LOC122950006	rna-XM_044310093.1
LOC122950009	rna-XM_044310098.1
LOC122950010	rna-XM_044310113.1
LOC122950013	rna-XM_044310127.1
LOC114975165	rna-XM_044326068.1
LOC122958502	rna-XM_044319410.1
LOC114948248	rna-XM_029324829.2
LOC114948249	rna-XM_044310153.1
LOC122950041	rna-XM_044310159.1
LOC122950047	rna-XM_044310167.1
LOC114948256	rna-XM_029324834.2
LOC122950072	rna-XM_044310183.1
LOC122948438	rna-XM_044308342.1
LOC122950080	rna-XM_044310186.1
LOC122947370	rna-XM_044310192.1
LOC122950090	rna-XM_044310196.1
LOC122958525	rna-XM_044319436.1
LOC122950099	rna-XM_044310205.1
LOC122950107	rna-XM_044310213.1
LOC114974398	rna-XM_029354651.2
LOC114951297	rna-XM_029327506.2
LOC122950135	rna-XM_044310231.1
LOC114949142	rna-XM_029325582.2
LOC122957212	rna-XM_044317199.1
LOC114974474	rna-XM_029354704.2
LOC122950161	rna-XM_044310254.1
LOC122958543	rna-XM_044319463.1
LOC122958551	rna-XM_044319473.1
LOC122950166	rna-XM_044310260.1
LOC122958567	rna-XM_044319491.1
LOC122958567	rna-XM_044319496.1
LOC114951029	rna-XM_029327219.2
LOC122958584	rna-XM_044319511.1
LOC122958576	rna-XM_044319506.1
LOC122958576	rna-XM_044319502.1
LOC122956959	rna-XM_044316769.1
LOC114950734	rna-XM_029326874.2
LOC122958590	rna-XM_044319519.1
LOC122958590	rna-XM_044319521.1
LOC122958590	rna-XM_044319527.1
LOC114950333	rna-XM_029326555.2
LOC114950305	rna-XM_029326529.2
LOC114950305	rna-XM_029326539.2
LOC114950305	rna-XM_029326544.2
LOC114950305	rna-XM_029326533.2
LOC114949955	rna-XM_029326247.2
LOC114949943	rna-XM_029326244.2
LOC114949901	rna-XM_044319569.1
LOC114949901	rna-XM_044319574.1
LOC114949901	rna-XM_044319586.1
LOC114949901	rna-XM_044319581.1
LOC122958656	rna-XM_044319595.1
LOC122958661	rna-XM_044319601.1
LOC114949967	rna-XM_044319612.1
LOC114949967	rna-XM_044319614.1
LOC122950173	rna-XM_044310267.1
LOC114950685	rna-XM_044319619.1
LOC114950685	rna-XM_044319616.1
LOC122958677	rna-XM_044319623.1
LOC122958677	rna-XM_044319627.1
LOC122958687	rna-XM_044319635.1
LOC122958687	rna-XM_044319633.1
LOC122958687	rna-XM_044319641.1
LOC122958687	rna-XM_044319637.1
LOC122958687	rna-XM_044319646.1
LOC122958706	rna-XM_044319648.1
LOC122958712	rna-XM_044319654.1
LOC122958723	rna-XM_044319677.1
LOC122958723	rna-XM_044319666.1
LOC122958723	rna-XM_044319672.1
LOC122958723	rna-XM_044319681.1
LOC122958718	rna-XM_044319660.1
LOC114951166	rna-XM_044319689.1
LOC114951166	rna-XM_044319694.1
LOC114951166	rna-XM_044319701.1
LOC122958740	rna-XM_044319705.1
LOC114950743	rna-XM_029326883.2
LOC114951051	rna-XM_044319735.1
LOC114951051	rna-XM_029327240.2
LOC114951014	rna-XM_044319726.1
LOC114951014	rna-XM_044319721.1
LOC122958747	rna-XM_044319731.1
LOC114951035	rna-XM_029327231.2
LOC114951035	rna-XM_029327228.2
LOC114950996	rna-XM_029327182.2
LOC114951004	rna-XM_029327191.2
LOC114950147	rna-XM_029326403.2
LOC114951325	rna-XM_029327531.2
LOC114950754	rna-XM_029326894.2
LOC114950765	rna-XM_029326913.2
LOC114950765	rna-XM_029326905.2
LOC122950189	rna-XM_044310276.1
LOC114950976	rna-XM_044316779.1
LOC114951143	rna-XM_029327353.2
LOC114950653	rna-XM_029326798.2
LOC114951124	rna-XM_044319771.1
LOC114950641	rna-XM_029326789.2
LOC114950433	rna-XM_044310280.1
LOC114951112	rna-XM_044319778.1
LOC114951112	rna-XM_044319775.1
LOC114951112	rna-XM_044319772.1
LOC114950403	rna-XM_044319793.1
LOC114950403	rna-XM_044319790.1
LOC114950403	rna-XM_029326614.2
LOC114950403	rna-XM_029326619.2
LOC114950345	rna-XM_029326563.2
LOC114950386	rna-XM_029326604.2
LOC114950386	rna-XM_029326599.2
LOC114950361	rna-XM_029326591.2
LOC114950361	rna-XM_029326584.2
LOC114950361	rna-XM_044319817.1
LOC114950361	rna-XM_029326578.2
LOC114950361	rna-XM_044319826.1
LOC114950354	rna-XM_029326570.2
LOC114950135	rna-XM_029326395.2
LOC114950095	rna-XM_044319827.1
LOC114950115	rna-XM_044319832.1
LOC114950115	rna-XM_044319835.1
LOC114950115	rna-XM_044319838.1
LOC122958787	rna-XM_044319831.1
LOC114950543	rna-XM_029326716.2
LOC122946957	rna-XM_044319844.1
LOC114950789	rna-XM_044319862.1
LOC114950789	rna-XM_044319855.1
LOC114950789	rna-XM_044319858.1
LOC114950789	rna-XM_044319868.1
LOC114950473	rna-XM_029326668.2
LOC122957546	rna-XM_044317661.1
LOC114951081	rna-XM_044317689.1
LOC114951072	rna-XM_029327290.2
LOC122950211	rna-XM_044310289.1
LOC122956968	rna-XM_044316785.1
LOC114950837	rna-XM_029326987.2
LOC122958821	rna-XM_044319891.1
LOC122958835	rna-XM_044319908.1
LOC122958831	rna-XM_044319900.1
LOC114950620	rna-XM_029326780.2
LOC114950620	rna-XM_029326773.2
LOC114950960	rna-XM_044319916.1
LOC122958839	rna-XM_044319919.1
LOC122958843	rna-XM_044319932.1
LOC122958843	rna-XM_044319927.1
LOC114950591	rna-XM_029326752.2
LOC114950609	rna-XM_029326764.2
LOC114950609	rna-XM_044319925.1
LOC114950531	rna-XM_044319938.1
LOC114951275	rna-XM_029327492.2
LOC122957551	rna-XM_044317686.1
LOC122957542	rna-XM_044317653.1
LOC122958848	rna-XM_044319949.1
LOC122958848	rna-XM_044319946.1
LOC122958856	rna-XM_044319961.1
LOC122958856	rna-XM_044319962.1
LOC114950778	rna-XM_044319966.1
LOC122958861	rna-XM_044319970.1
LOC114950105	rna-XM_029326364.2
LOC122950218	rna-XM_044310295.1
LOC114951286	rna-XM_044310312.1
LOC122950229	rna-XM_044310307.1
LOC114951185	rna-XM_044319977.1
LOC114950200	rna-XM_044319984.1
LOC114950246	rna-XM_029326482.2
LOC114950273	rna-XM_029326504.2
LOC114950237	rna-XM_029326478.2
LOC122956969	rna-XM_044316790.1
LOC122958876	rna-XM_044320003.1
LOC122958876	rna-XM_044319999.1
LOC122958889	rna-XM_044320008.1
LOC122958897	rna-XM_044320016.1
LOC122958884	rna-XM_044320007.1
LOC114973635	rna-XM_029354032.2
LOC122958906	rna-XM_044320024.1
LOC122958910	rna-XM_044320032.1
LOC122958910	rna-XM_044320028.1
LOC114950554	rna-XM_044320040.1
LOC114950554	rna-XM_044320035.1
LOC114950554	rna-XM_044320041.1
LOC122958930	rna-XM_044320042.1
LOC122947336	rna-XM_044320045.1
LOC114951352	rna-XM_029327572.2
LOC114951352	rna-XM_029327578.2
LOC114951343	rna-XM_044320043.1
LOC114951335	rna-XM_029327543.2
LOC122946911	rna-XM_044320058.1
LOC122946911	rna-XM_044320063.1
LOC122946911	rna-XM_044320054.1
LOC114950697	rna-XM_029326823.2
LOC114950697	rna-XM_044320079.1
LOC114950697	rna-XM_029326862.2
LOC114950697	rna-XM_044320073.1
LOC114950580	rna-XM_029326743.2
LOC122959048	rna-XM_044320102.1
LOC122959048	rna-XM_044320108.1
LOC122959048	rna-XM_044320113.1
LOC114951176	rna-XM_044320120.1
LOC114951176	rna-XM_044320123.1
LOC114950283	rna-XM_029326514.2
LOC114950210	rna-XM_029326461.2
LOC114950210	rna-XM_044320127.1
LOC114950210	rna-XM_029326453.2
LOC114950292	rna-XM_029326522.2
LOC114950263	rna-XM_029326497.2
LOC114950226	rna-XM_044320156.1
LOC114950226	rna-XM_029326468.2
LOC114950255	rna-XM_029326489.2
LOC122959105	rna-XM_044320165.1
LOC122956974	rna-XM_044316797.1
LOC122959107	rna-XM_044320168.1
LOC122950256	rna-XM_044310330.1
LOC122950261	rna-XM_044310336.1
LOC122959113	rna-XM_044320177.1
LOC122959115	rna-XM_044320180.1
LOC122950267	rna-XM_044310340.1
LOC122956976	rna-XM_044316800.1
LOC122950280	rna-XM_044310353.1
LOC122950288	rna-XM_044310361.1
LOC122959119	rna-XM_044320183.1
LOC122956981	rna-XM_044316815.1
LOC122950304	rna-XM_044310370.1
LOC122950323	rna-XM_044310382.1
LOC122959124	rna-XM_044320193.1
LOC114950933	rna-XM_029327104.2
LOC114950932	rna-XM_029327103.2
LOC114950935	rna-XM_029327106.2
LOC114950935	rna-XM_029327105.2
LOC114950935	rna-XM_044320251.1
LOC114950935	rna-XM_029327107.2
LOC114950935	rna-XM_029327109.2
LOC114950935	rna-XM_029327108.2
LOC114950921	rna-XM_029327092.2
LOC122950329	rna-XM_044310386.1
LOC114950919	rna-XM_044320279.1
LOC122959170	rna-XM_044320290.1
LOC114960797	rna-XM_044320284.1
LOC122950335	rna-XM_044310392.1
LOC122959185	rna-XM_044320322.1
LOC122958217	rna-XM_044319066.1
LOC114968525	rna-XM_044321051.1
LOC122959177	rna-XM_044320302.1
LOC122959183	rna-XM_044320317.1
LOC122959833	rna-XM_044321576.1
LOC122960062	rna-XM_044322012.1
LOC122947280	rna-XM_044320300.1
LOC122960201	rna-XM_044322408.1
LOC114960803	rna-XM_044320331.1
LOC122959215	rna-XM_044320374.1
LOC122959207	rna-XM_044320359.1
LOC122959211	rna-XM_044320364.1
LOC114960801	rna-XM_044320348.1
LOC114960801	rna-XM_044320346.1
LOC114960801	rna-XM_044320351.1
LOC114960828	rna-XM_029339292.2
LOC114960837	rna-XM_029339305.2
LOC114960837	rna-XM_029339307.2
LOC114960838	rna-XM_029339308.2
LOC114969678	rna-XM_029350014.2
LOC114970019	rna-XM_029350377.2
LOC114970026	rna-XM_044320402.1
LOC114970129	rna-XM_029350497.2
LOC114970129	rna-XM_029350502.2
LOC114968891	rna-XM_029349123.2
LOC114968868	rna-XM_029349097.2
LOC114968868	rna-XM_029349113.2
LOC114968868	rna-XM_029349105.2
LOC114970964	rna-XM_044322893.1
LOC114970977	rna-XM_029351479.2
LOC114970971	rna-XM_029351474.2
LOC114970970	rna-XM_044320482.1
LOC122959268	rna-XM_044320476.1
LOC122959268	rna-XM_044320472.1
LOC114970969	rna-XM_044320477.1
LOC114970966	rna-XM_044320519.1
LOC114970966	rna-XM_044320532.1
LOC114970966	rna-XM_044320536.1
LOC114970966	rna-XM_044320524.1
LOC114970965	rna-XM_029351459.2
LOC114970965	rna-XM_029351460.2
LOC114970965	rna-XM_029351462.2
LOC114970965	rna-XM_029351461.2
LOC114970965	rna-XM_029351463.2
LOC114970965	rna-XM_044320486.1
LOC114970983	rna-XM_029351487.2
LOC114970983	rna-XM_029351489.2
LOC114970983	rna-XM_029351488.2
LOC114970983	rna-XM_029351486.2
LOC114970975	rna-XM_029351477.2
LOC114970985	rna-XM_029351490.2
LOC114970986	rna-XM_029351492.2
LOC114970986	rna-XM_029351491.2
LOC114970981	rna-XM_029351482.2
LOC114970979	rna-XM_029351480.2
LOC114970979	rna-XM_029351481.2
LOC114970972	rna-XM_029351475.2
LOC114975118	rna-XM_044316820.1
LOC114975118	rna-XM_044316822.1
LOC114970988	rna-XM_029351493.2
LOC114950400	rna-XM_029326607.2
LOC122959323	rna-XM_044320616.1
LOC122959323	rna-XM_044320613.1
LOC122959323	rna-XM_044320612.1
LOC114970982	rna-XM_044320669.1
LOC114964508	rna-XM_029343851.2
LOC114948563	rna-XM_044320674.1
LOC122961557	rna-XM_044324322.1
LOC122959422	rna-XM_044320745.1
LOC114950367	rna-XM_029326580.2
LOC114964511	rna-XM_044320662.1
LOC114964511	rna-XM_044320655.1
LOC114950657	rna-XM_044325851.1
LOC114952360	rna-XM_029328347.2
LOC114948860	rna-XM_044326371.1
LOC122959439	rna-XM_044320758.1
LOC114948188	rna-XM_044327697.1
LOC122959404	rna-XM_044320732.1
LOC122959404	rna-XM_044320736.1
LOC122959404	rna-XM_044320741.1
LOC114948191	rna-XM_029324763.2
LOC114948192	rna-XM_044320771.1
LOC114951566	rna-XM_044320617.1
LOC114951566	rna-XM_044320637.1
LOC114951566	rna-XM_044320618.1
LOC114951566	rna-XM_044320641.1
LOC114951566	rna-XM_044320635.1
LOC114951566	rna-XM_044320628.1
LOC114951566	rna-XM_044320619.1
LOC114951566	rna-XM_044320648.1
LOC114951566	rna-XM_044320645.1
LOC114948190	rna-XM_044320696.1
LOC114948190	rna-XM_044320691.1
